message-id,vendor-category,vendor-group,vendor-severity
883,Firewall Settings,Checksum Enforcement,notice
884,Firewall Settings,Checksum Enforcement,notice
885,Firewall Settings,Checksum Enforcement,notice
886,Firewall Settings,Checksum Enforcement,notice
887,Network,TCP,debug
888,Network,TCP,debug
889,Network,TCP,debug
890,Network,TCP,debug
891,Network,TCP,debug
892,Network,TCP,info
893,Network,TCP,debug
894,Network,TCP,debug
895,Network,TCP,debug
896,Network,TCP,debug
897,Firewall Settings,Flood Protection,info
898,Firewall Settings,Flood Protection,alert
899,Firewall Settings,Flood Protection,warning
900,Firewall Settings,Flood Protection,alert
901,Firewall Settings,Flood Protection,alert
902,Firewall Settings,Flood Protection,warning
903,Firewall Settings,Flood Protection,alert
904,Firewall Settings,Flood Protection,alert
905,Firewall Settings,Flood Protection,alert
906,Firewall Settings,Flood Protection,alert
907,Firewall Settings,Flood Protection,alert
908,Firewall Settings,Flood Protection,warning
909,Firewall Settings,Flood Protection,warning
910,Network,IP,warning
911,Network,Dynamic Address Objects,info
912,Network,Dynamic Address Objects,info
913,VPN,VPN IKE,warning
914,VPN,VPN IKE,warning
915,VPN,VPN IKE,warning
916,VPN,VPN IKE,warning
917,VPN,VPN IKE,warning
918,VPN,VPN IKE,warning
919,VPN,VPN IKE,warning
920,VPN,VPN IKE,warning
921,VPN,VPN IKE,warning
922,VPN,VPN IKE,warning
923,VPN,VPN IKE,warning
924,VPN,VPN IKE,warning
925,VPN,VPN IKE,warning
926,VPN,VPN IKE,warning
927,VPN,VPN IKE,warning
928,VPN,VPN IKE,warning
930,VPN,VPN IKE,info
931,VPN,VPN IKE,info
932,VPN,VPN IKE,warning
933,VPN,VPN IKE,warning
934,VPN,VPN IKE,warning
935,VPN,VPN IKE,warning
936,VPN,VPN IKE,warning
937,VPN,VPN IKE,warning
938,VPN,VPN IKEv2,info
939,VPN,VPN IKEv2,info
940,VPN,VPN IKEv2,info
941,VPN,VPN IKEv2,info
942,VPN,VPN IKEv2,info
943,VPN,VPN IKEv2,info
944,VPN,VPN IKEv2,info
945,VPN,VPN IKEv2,info
946,VPN,VPN IKEv2,info
947,VPN,VPN IKEv2,info
948,VPN,VPN IKEv2,info
949,VPN,VPN IKEv2,info
950,VPN,VPN IKEv2,info
951,VPN,VPN IKEv2,info
952,VPN,VPN IKEv2,info
953,VPN,VPN IKEv2,warning
954,VPN,VPN IKEv2,warning
955,VPN,VPN IKEv2,warning
956,VPN,VPN IKEv2,warning
957,VPN,VPN IKEv2,warning
958,VPN,VPN IKEv2,warning
959,VPN,VPN IKEv2,warning
960,VPN,VPN IKEv2,warning
961,VPN,VPN IKEv2,warning
962,VPN,VPN IKEv2,error
963,VPN,VPN IKEv2,warning
964,VPN,VPN IKEv2,warning
965,VPN,VPN IKE,error
966,VPN,VPN IKEv2,warning
967,VPN,VPN IKEv2,warning
968,VPN,VPN IKEv2,warning
969,VPN,VPN IKEv2,warning
970,VPN,VPN IKEv2,warning
971,VPN,VPN IKEv2,warning
972,VPN,VPN IKEv2,info
973,VPN,VPN IKEv2,info
974,VPN,VPN IKEv2,info
975,VPN,VPN IKEv2,info
976,VPN,VPN IKEv2,info
977,VPN,VPN IKEv2,info
978,VPN,VPN IKEv2,info
979,VPN,VPN IKEv2,error
980,VPN,VPN IKEv2,warning
981,VPN,VPN IKEv2,warning
982,VPN,VPN IKEv2,info
983,VPN,VPN IKEv2,warning
984,VPN,VPN IKEv2,info
985,VPN,VPN IKEv2,info
986,Users,Authentication Access,info
987,Users,Authentication Access,info
988,Users,SSO Agent Authentication,info
989,Users,SSO Agent Authentication,info
990,Users,SSO Agent Authentication,info
991,Users,SSO Agent Authentication,info
992,Users,SSO Agent Authentication,info
993,Users,SSO Agent Authentication,info
994,Users,Authentication Access,info
995,Users,Authentication Access,info
996,Users,Authentication Access,info
997,Users,Authentication Access,info
998,Users,Authentication Access,info
999,Firewall Settings,SSL Control,info
1000,Firewall Settings,SSL Control,info
1001,Firewall Settings,SSL Control,info
1002,Firewall Settings,SSL Control,info
1003,Firewall Settings,SSL Control,info
1004,Firewall Settings,SSL Control,info
1005,Firewall Settings,SSL Control,info
1006,Firewall Settings,SSL Control,info
1008,Users,Authentication Access,info
1009,Users,Radius Authentication,error
1010,Users,Radius Authentication,alert
1011,Users,Radius Authentication,warning
1012,VPN,VPN IKEv2,info
1013,VPN,VPN IKEv2,info
1014,VPN,VPN IKEv2,info
1015,VPN,VPN IKEv2,info
1016,VPN,VPN IKEv2,info
1017,3G/4G Modem and Module,3G/4G Modem and Module,info
1018,Network,PPP,info
1019,3G/4G Modem and Module,PPP Dial-Up,info
1020,3G/4G Modem and Module,PPP Dial-Up,info
1021,3G/4G Modem and Module,PPP Dial-Up,info
1022,3G/4G Modem and Module,PPP Dial-Up,info
1023,3G/4G Modem and Module,PPP Dial-Up,info
1024,3G/4G Modem and Module,PPP Dial-Up,error
1026,3G/4G Modem and Module,PPP Dial-Up,alert
1027,3G/4G Modem and Module,PPP Dial-Up,alert
1028,3G/4G Modem and Module,PPP Dial-Up,alert
1029,Network,TCP,debug
1030,Network,TCP,debug
1031,Network,TCP,debug
1033,Users,Authentication Access,warning
1035,Users,Authentication Access,info
1036,VPN,VPN IKE,error
1037,3G/4G Modem and Module,PPP Dial-Up,info
1038,3G/4G Modem and Module,PPP Dial-Up,info
1039,3G/4G Modem and Module,PPP Dial-Up,info
1040,Network,DHCP Server,alert
1041,Network,DHCP Server,alert
1043,System,Hardware,error
1044,High Availability,State,info
1046,System,Restart,info
1047,System,Restart,info
1048,Users,Authentication Access,info
1049,System,Settings,info
1050,VPN,VPN IPsec,info
1051,VPN,VPN IPsec,info
1052,VPN,VPN IPsec,info
1053,3G/4G Modem and Module,3G/4G Modem and Module,alert
1054,3G/4G Modem and Module,3G/4G Modem and Module,alert
1055,3G/4G Modem and Module,3G/4G Modem and Module,alert
1058,High Availability,State,info
1059,High Availability,State,info
1060,Security Services,Crypto Test,error
1065,System,Settings,info
1066,System,Settings,info
1068,Network,DHCP Server,warning
1070,Network,DNS,info
1071,Network,DHCP Server,critical
1072,Network,DHCP Server,critical
1073,Users,SSO Agent Authenticatio,nwarning
1074,Network,L2TP Client,info
1075,Users,SSO Agent Authentication,alert
1076,Users,SSO Agent Authentication,alert
1077,Wireless,SonicPoint/SonicWave,info
1078,Wireless,SonicPoint/SonicWave,info
1079,SSL VPN,General,info
1080,Users,Authentication Access,info
1081,Firewall Settings,SSL Control,info
1082,Anti-Spam,Probe,warning
1083,Anti-Spam,Probe,warning
1084,Anti-Spam,General,info
1085,Anti-Spam,General,info
1086,Anti-Spam,General,warning
1087,Anti-Spam,E-mail,warning
1088,Anti-Spam,General,warning
1089,Anti-Spam,General,warning
1090,Network,DHCP Server,notice
1091,Anti-Spam,GRID,notice
1092,Anti-Spam,GRID,notice
1093,Anti-Spam,GRID,notice
1094,Anti-Spam,GRID,error
1095,Anti-Spam,E-mail,info
1097,VPN,VPN PKI,notice
1098,Network,DNS,alert
1099,Network,DNS,alert
1100,Network,Network Monitor,alert
1101,Network,Network Monitor,alert
1102,Network,Network Monitor,alert
1103,Network,Network Monitor,alert
1104,Network,Network Monitor,info
1105,Network,Network Monitor,info
1106,Network,Network Monitor,info
1107,System,Status,alert
1108,Anti-Spam,E-mail,info
1109,VPN,VPN PKI,info
1110,Network,DHCP Server,info
1111,Network,DHCP Server,info
1112,Firewall Settings,FTP,debug
1113,Firewall Settings,FTP,debug
1114,Firewall Settings,FTP,debug
1115,Firewall Settings,FTP,debug
1116,Firewall Settings,FTP,debug
1117,Users,Authentication Access,warning
1118,Users,Authentication Access,info
1119,Users,Authentication Access,info
1120,Users,Authentication Access,warning
1121,Users,Authentication Access,warning
1122,Users,Authentication Access,warning
1123,Users,Authentication Access,warning
1124,Users,Authentication Access,info
1125,High,Availability,General,info
1126,High Availability,Monitoring,error
1127,VPN,VPN IKE,warning
1128,VPN,VPN IKE,debug
1131,Anti-Spam,Probe,debug
1132,Anti-Spam,Probe,info
1133,Network,PPPoE,info
1134,Network,PPTP,info
1135,Network,L2TP Client,debug
1138,Anti-Spam,GRID,debug
1139,Anti-Spam,GRID,debug
1140,Anti-Spam,GRID,debug
1141,Anti-Spam,GRID,debug
1142,Anti-Spam,General,debug
1143,Anti-Spam,GRID,debug
1144,Anti-Spam,GRID,debug
1145,Anti-Spam,GRID,debug
1146,Anti-Spam,General,debug
1147,Anti-Spam,General,debug
1148,Network,Interfaces,info
